pid,time_elapsed,trial_type,rt,payoff_matrix,cost,click_cost,choice_index,clicks,payoff_value,probabilities,net_payoff,payoff_index,click_times,answers,correct,block,trial_index
13,513238,mouselab,882.0,"[[-4, -56, 15, 11, 12, -210], [140, -17, 0, -90, -17, 39], [-89, 12, -68, 57, 35, 42], [113, -41, 7, 53, -62, 2]]",2,0,4,[],35,"[0.25, 0.23, 0.2, 0.32]",35,2,[],,,test,3
13,515910,mouselab,853.0,"[[-23, -101, -101, 46, 27, 65], [11, 20, -91, 74, -136, 41], [5, -69, 16, -47, 89, -30], [-65, -88, 120, 6, 36, 57]]",2,0,5,[],65,"[0.25, 0.36, 0.16, 0.23]",65,0,[],,,test,4
13,518840,mouselab,627.0,"[[-21, -86, 11, -30, -54, -48], [60, -94, -32, 87, 37, 16], [75, -9, 31, -19, 46, -114], [69, 5, -73, -52, 44, 16]]",2,0,2,[],-32,"[0.16, 0.31, 0.28, 0.25]",-32,1,[],,,test,5
13,521350,mouselab,811.0,"[[166, 44, -27, -71, 17, -77], [-12, 121, -109, 78, 33, -92], [-40, 165, 69, -78, -22, 12], [48, 61, 139, 91, 20, 70]]",2,0,4,[],20,"[0.21, 0.26, 0.32, 0.21]",20,3,[],,,test,6
13,533074,mouselab,10179.0,"[[42, -24, 101, -100, 58, -27], [-5, -156, 35, -50, -12, -147], [53, -58, 7, -106, 64, 28], [-111, 76, 48, -108, 91, 15]]",2,0,5,[],15,"[0.16999999999999998, 0.25, 0.34, 0.24]",15,3,[],,,test,7
13,537380,mouselab,3024.0,"[[-27, -93, 2, -85, 95, 19], [-208, -13, 68, -28, -28, -68], [34, 13, -36, -7, -75, 5], [32, 53, 24, 10, -116, -51]]",2,2,4,[9],-116,"[0.28, 0.27, 0.1, 0.35]",-118,3,[2303],,,test,8
13,538932,mouselab,581.0,"[[89, -44, 33, -36, -1, 85], [86, -57, -83, -7, -84, 3], [-41, 5, 15, -233, 3, 117], [0, -76, 43, 18, -108, 27]]",2,0,2,[],15,"[0.22, 0.17, 0.42, 0.19]",15,2,[],,,test,9
9,11213,mouselab,3706.0,"[[-63, -47, -94, -98, -96, -48], [8, -7, 92, -62, 91, 164], [-32, 11, -57, -28, 47, -142], [69, 20, 15, 127, 134, -77]]",2,0,0,[],69,"[0.2, 0.2, 0.1, 0.5]",69,3,[],,,instruct1,0
9,13575,mouselab,1276.0,"[[-63, -47, -94, -98, -96, -48], [8, -7, 92, -62, 91, 164], [-32, 11, -57, -28, 47, -142], [69, 20, 15, 127, 134, -77]]",2,0,1,[],-7,"[0.2, 0.2, 0.1, 0.5]",-7,1,[],,,instruct1,1
9,15428,mouselab,900.0,"[[-63, -47, -94, -98, -96, -48], [8, -7, 92, -62, 91, 164], [-32, 11, -57, -28, 47, -142], [69, 20, 15, 127, 134, -77]]",2,0,2,[],15,"[0.2, 0.2, 0.1, 0.5]",15,3,[],,,instruct1,2
9,72777,mouselab,7990.0,"[[110, 5, 47, 12, -63, 140], [6, 13, -15, 27, -117, 64], [41, -60, -25, 103, -81, 127], [-15, -29, 62, -16, 9, 81]]",2,0,5,[],127,"[0.19, 0.32, 0.24, 0.25]",127,2,[],,,instruct2,0
9,76520,mouselab,2615.0,"[[-3, 90, 114, 25, 149, -142], [104, -18, 8, -98, 121, -2], [69, -16, 8, 23, 90, -25], [144, -66, 29, 173, 185, -17]]",2,0,4,[],121,"[0.23, 0.22, 0.28, 0.27]",121,1,[],,,instruct2,1
9,79156,mouselab,1578.0,"[[85, -13, -41, -149, 67, 41], [110, 101, 44, 12, -53, -26], [40, -118, -38, -108, 16, -98], [6, -18, -101, -53, -71, -24]]",2,0,0,[],110,"[0.19999999999999998, 0.25, 0.28, 0.27]",110,1,[],,,instruct2,2
9,95907,mouselab,14684.0,"[[-111, -68, -75, 81, -99, 30], [-115, -46, 59, -35, 7, -76], [123, -5, -127, -61, 37, 79], [-78, 30, 148, -45, 19, -6]]",2,22,4,"[6, 7, 9, 8, 2, 10, 11, 4, 16, 14, 22]",37,"[0.21, 0.3, 0.29, 0.2]",15,2,"[6007, 6865, 7456, 7904, 8873, 9683, 10082, 10692, 11339, 11983, 12928]",,,instruct3,0
